title,popularity,release_date,vote_average,vote_count
Wonder,41.956,2017-11-13,8.13,7850
Call Me by Your Name,58.495,2017-07-28,8.128,12065
Full Metal Jacket,53.751,1987-06-26,8.1,10463
Soul,72.066,2020-12-25,8.123,10447
The Father,24.216,2020-12-23,8.1,3184
Central Station,14.228,1998-11-20,8.123,896
Reservoir Dogs,37.611,1992-09-02,8.121,14276
Better Days,17.153,2019-10-25,8.12,446
The Hate U Give,32.756,2018-10-19,8.1,2117
"Lock, Stock and Two Smoking Barrels",14.801,1998-08-28,8.12,6568
The Great War,8.854,1959-10-28,8.1,341
Terminator 2: Judgment Day,97.943,1991-07-03,8.1,12868
Purple Hearts,46.596,2022-07-29,8.118,2531
"“The Shorts” by Aldo, Giovanni and Giacomo",7.326,1996-03-29,8.1,345
Metropolis,45.924,1927-02-06,8.116,2757
Double Indemnity,14.963,1944-07-06,8.116,1792
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,41.062,1964-01-29,8.116,5610
Portrait of a Lady on Fire,34.431,2019-09-18,8.115,2547
The Invisible Guest,41.762,2017-01-06,8.113,4528
Along with the Gods: The Last 49 Days,33.54,2018-08-01,8.113,666
In the Mood for Love,32.569,2000-09-29,8.1,2721
Transformers One,832.51,2024-09-11,8.11,838
Mortal Kombat Legends: Scorpion's Revenge,37.27,2020-04-12,8.104,1375
Incendies,61.638,2010-09-17,8.105,2739
"Paris, Texas",35.581,1984-07-16,8.1,1860
Prisoners,107.757,2013-09-19,8.099,11762
The Hunt,28.222,2012-06-13,8.1,4169
Some Like It Hot,30.51,1959-03-19,8.1,3455
Big Deal on Madonna Street,7.915,1958-07-26,8.097,698
Red Beard,13.567,1965-04-03,8.1,354
Eternal Sunshine of the Spotless Mind,86.38,2004-03-19,8.095,14959
Yojimbo,25.938,1961-04-25,8.1,1450
WALL·E,124.478,2008-06-22,8.1,18769
The Best of Youth,12.576,2003-06-22,8.1,530
All About Eve,12.728,1950-11-09,8.094,1523
The Tale of The Princess Kaguya,19.583,2013-11-23,8.094,1780
"Miraculous World: New York, United HeroeZ",56.251,2020-09-25,8.089,1090
Harry Potter and the Deathly Hallows: Part 2,147.633,2011-07-12,8.092,20544
La Haine,26.041,1995-05-31,8.092,4039
Sansho the Bailiff,16.917,1954-03-31,8.09,372
Children of Paradise,11.268,1945-03-15,8.1,407
New Gods: Nezha Reborn,24.147,2021-02-06,8.1,425
Das Boot,26.2,1981-09-17,8.087,2203
La Dolce Vita,22.628,1960-02-05,8.1,1849
Guillermo del Toro's Pinocchio,47.794,2022-11-09,8.1,2909
M,17.02,1931-05-11,8.082,2174
Oppenheimer,135.975,2023-07-19,8.081,9354
Prayers for Bobby,21.001,2009-01-24,8.1,578
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,20.099,2019-08-30,8.1,546
Far from the Tree,11.523,2021-11-24,8.076,369
A Taxi Driver,28.437,2017-08-02,8.1,977
Along with the Gods: The Two Worlds,28.41,2017-12-20,8.076,1042
Believe Me: The Abduction of Lisa McVey,50.47,2018-09-30,8.075,617
There Will Be Blood,37.35,2007-12-26,8.075,6594
Ayla: The Daughter of War,19.985,2017-10-27,8.074,357
Rashomon,32.381,1950-08-26,8.075,2213
2001: A Space Odyssey,50.224,1968-04-02,8.1,11516
Pride & Prejudice,68.326,2005-09-16,8.072,8023
Me Against You: Mr. S's Vendetta,12.334,2020-01-17,8.1,466
"Three Billboards Outside Ebbing, Missouri",51.785,2017-12-01,8.069,10073
Lion,29.698,2016-11-24,8.1,6531
My Neighbor Totoro,70.451,1988-04-16,8.1,7968
A Dog's Journey,40.01,2019-05-03,8.068,1499
Sherlock Jr.,11.287,1924-04-17,8.1,989
The Thing,62.045,1982-06-25,8.065,6990
Memories of Murder,55.076,2003-05-02,8.062,3808
A Special Day,9.707,1977-08-11,8.1,658
Ran,23.961,1985-06-01,8.1,1541
Hidden Figures,66.062,2016-12-10,8.057,9714
How to Train Your Dragon: Homecoming,119.852,2019-12-03,8.1,950
Death Note Relight 1: Visions of a God,20.14,2007-08-31,8.05,303
Bo Burnham: Inside,7.644,2021-07-22,8.051,489
Robot Dreams,70.834,2023-12-06,8.049,557
Paper Lives,16.596,2021-03-12,8.046,381
The Grand Budapest Hotel,54.105,2014-02-26,8.046,14795
Judgment at Nuremberg,14.888,1961-12-18,8.0,781
My Name Is Khan,26.404,2010-02-10,8.0,1306
Elite Squad,29.699,2007-10-12,8.044,2399
The Second Mother,6.73,2015-06-04,8.041,724
Rocco and His Brothers,12.468,1960-10-07,8.038,586
The Young and the Damned,12.501,1950-12-09,8.038,481
The 400 Blows,14.01,1959-06-03,8.036,2140
On My Skin,8.745,2018-09-12,8.0,1849
The Elephant Man,82.929,1980-10-09,8.0,3472
The Wolf of Wall Street,123.275,2013-12-25,8.032,23964
Amadeus,45.2,1984-09-19,8.03,4232
Gifted,51.824,2017-04-07,8.027,5495
The Lives of Others,21.323,2006-03-23,8.027,3656
To Live,12.689,1994-05-18,8.026,310
The Wages of Fear,27.354,1953-04-22,8.0,943
"Veinteañera, divorciada y fantástica",6.715,2020-02-14,8.0,387
"Toto, Peppino, and the Hussy",7.93,1956-08-23,8.023,342
The Sting,23.885,1973-12-25,8.023,2593
Bo Burnham: Make Happy,7.146,2016-06-03,8.021,378
Room,17.582,2015-10-16,8.021,9136
All Your Faces,12.908,2023-03-29,8.02,551
Beyond the Universe,12.992,2022-10-27,8.0,319
Society of the Snow,51.196,2023-12-15,8.0,2912
Flipped,40.828,2010-08-06,8.018,3014
Requiem for a Dream,31.017,2000-10-06,8.017,9948
Dial M for Murder,22.793,1954-05-29,8.0,2586
El mesero,15.569,2021-07-15,8.0,349
Jojo Rabbit,34.435,2019-10-18,8.017,9523
Harry Potter and the Prisoner of Azkaban,207.293,2004-05-31,8.016,21565
For a Few Dollars More,38.028,1965-12-18,8.016,3955
American Beauty,36.675,1999-09-15,8.014,12024
Scooby-Doo! and KISS: Rock and Roll Mystery,33.772,2015-07-09,8.011,317
Simone: Woman of the Century,7.686,2022-10-12,8.009,326
Black Beauty,13.873,2020-11-27,8.0,337
Ford v Ferrari,95.147,2019-11-13,8.007,7954
Cruella,78.628,2021-05-26,8.007,9316
Hachi: A Dog's Tale,66.307,2009-06-08,8.007,6682
"Rome, Open City",11.842,1945-10-08,8.0,879
Casino,30.783,1995-11-22,8.006,5802
Citizen Kane,29.481,1941-04-17,8.005,5509
Sound of Freedom,56.966,2023-07-03,8.003,2409
"Love, Simon",42.204,2018-02-16,8.002,6024
Song of the Sea,18.047,2014-06-23,8.0,1421
Tae Guk Gi: The Brotherhood of War,17.268,2004-02-05,8.0,661
Barry Lyndon,22.024,1975-12-18,8.002,2809
3 Idiots,54.789,2009-12-23,8.0,2374
Lawrence of Arabia,36.127,1962-12-11,8.0,3003
The Imitation Game,98.413,2014-11-14,7.998,16989
The Secret in Their Eyes,35.462,2009-08-13,8.0,2529
Weathering with You,48.945,2019-06-19,7.997,2285
Loving Vincent,19.981,2017-06-22,7.997,2444
Paperman,8.268,2012-11-02,7.997,1710
The Deer Hunter,34.384,1978-12-08,7.997,3797
The Passion of Joan of Arc,10.577,1928-04-21,7.999,933
To Kill a Mockingbird,29.334,1962-12-20,8.0,2597
"Red, White & Royal Blue",71.884,2023-07-27,7.995,1276
1917,36.332,2019-12-25,7.991,12374
Gran Torino,25.986,2008-12-12,7.992,10670
In a Heartbeat,15.404,2017-06-01,7.99,994
Kill Bill: The Whole Bloody Affair,21.128,2011-03-27,7.99,1006
Chungking Express,36.252,1994-07-14,8.0,1796
Like Stars on Earth,24.834,2007-12-21,7.99,1159
Love Exposure,18.081,2009-01-31,8.0,442
Autumn Sonata,9.84,1978-10-08,8.0,599
Nights of Cabiria,18.432,1957-10-03,7.99,760
Bingo: The King of the Mornings,5.801,2017-08-24,7.983,386
Nobody Knows,16.222,2004-08-07,8.0,522
The Gold Rush,11.944,1925-07-13,8.0,1597
Bohemian Rhapsody,43.79,2018-10-24,8.0,16847
North by Northwest,29.459,1959-07-08,7.983,4087
Late Spring,12.964,1949-09-13,7.987,416
Castaway on the Moon,19.646,2009-05-14,7.982,662
Flamin' Hot,74.252,2023-03-11,8.0,669
Andrei Rublev,12.333,1966-12-16,8.0,822
Catch Me If You Can,93.997,2002-12-16,7.978,15624
Ugetsu,11.194,1953-03-26,7.976,566
Castle in the Sky,47.937,1986-08-02,7.975,4187
Toy Story,129.077,1995-10-30,7.971,18385
Kill Bill: Vol. 1,58.326,2003-10-10,8.0,17390
Before Sunrise,32.63,1995-01-27,7.969,4123
Monster,72.484,2023-06-02,8.0,547
Guardians of the Galaxy Vol. 3,199.448,2023-05-03,7.965,6893
Forgotten,19.71,2017-11-29,8.0,1101
Mirror,17.39,1975-03-07,7.968,948
Trainspotting,40.645,1996-02-23,7.964,9615
A Man Escaped,10.593,1956-11-11,7.96,528
Kitbull,23.413,2019-01-18,8.0,368
The Boy and the Beast,26.267,2015-07-11,7.962,1470
