title,popularity,release_date,vote_average,vote_count
The Climb,7.541,2017-01-25,6.7,856
The Lion Guard: Return of the Roar,47.058,2015-11-22,6.7,1220
Still Time,9.363,2023-03-16,6.7,318
Godzilla: King of the Monsters,62.422,2019-05-29,6.701,6158
Twitches Too,35.574,2007-10-12,6.7,345
Clockers,17.186,1995-09-15,6.701,316
Altered States,11.735,1980-12-25,6.7,653
Wayne's World,22.288,1992-02-14,6.701,2216
Signs,26.564,2002-08-02,6.701,5613
Attraction,29.212,2017-01-26,6.7,806
Fifty Shades Freed,124.474,2018-01-17,6.7,7979
King of New York,16.417,1990-07-18,6.7,657
Major Grom: Plague Doctor,20.934,2021-04-01,6.699,585
Motherless Brooklyn,15.919,2019-10-31,6.7,1427
Alone in Berlin,11.768,2016-02-15,6.7,369
Just Go with It,48.839,2011-02-10,6.699,5700
RED,34.622,2010-10-13,6.699,6668
The Cooler,11.992,2003-11-26,6.7,346
Confessions of a Dangerous Mind,17.444,2002-12-31,6.7,1124
Yesterday,18.405,2019-06-26,6.698,3905
Trolls Holiday,16.104,2017-11-01,6.7,481
Red Rock West,8.217,1993-05-14,6.698,333
Subservience,376.763,2024-08-15,6.675,349
Aline,9.218,2020-11-19,6.697,353
The Little Death,16.456,2014-06-13,6.7,470
Heaven Is for Real,38.648,2014-04-16,6.698,792
Return to Halloweentown,15.078,2006-10-20,6.697,596
Julie & Julia,18.759,2009-08-06,6.7,2061
Flawless,25.4,2007-09-01,6.7,538
Lethal Weapon 3,26.65,1992-05-15,6.697,2878
Beautiful Disaster,64.156,2023-04-04,6.7,775
Fear Street: 1994,25.847,2021-06-28,6.696,2292
X+Y,29.172,2014-03-13,6.7,555
Dikkenek,5.888,2006-06-21,6.7,670
We Own the Night,22.624,2007-10-12,6.7,1362
I Am Mother,13.736,2019-06-07,6.7,2539
The Gift,20.654,2015-07-31,6.694,3189
The Soloist,15.083,2009-04-24,6.7,767
21,26.579,2008-03-27,6.694,4616
From Hell,16.958,2001-02-08,6.7,2783
My Spy The Eternal City,104.333,2024-07-18,6.7,331
Secret Society of Second Born Royals,19.921,2020-09-25,6.687,531
Loving,11.093,2016-11-04,6.692,915
The Flash,110.529,2023-06-13,6.692,4266
Slow West,11.449,2015-05-15,6.7,963
Jurassic World,78.03,2015-06-06,6.692,20315
Night of the Creeps,12.85,1986-08-21,6.7,495
Return to Oz,16.452,1985-06-21,6.694,1004
Step Up 2: The Streets,26.94,2008-02-14,6.7,2285
Cloverfield,34.846,2008-01-15,6.692,7045
Official Competition,8.861,2021-09-04,6.7,372
Jurassic World Dominion,117.845,2022-06-01,6.691,6087
Peter Rabbit,32.001,2018-02-07,6.692,1768
Big Miracle,15.656,2012-02-02,6.7,488
Troll Hunter,36.52,2010-10-29,6.691,1561
Naruto the Movie: Legend of the Stone of Gelel,19.762,2005-08-06,6.691,391
Sabrina the Teenage Witch,10.346,1996-04-07,6.7,319
Bottle Rocket,8.955,1996-02-21,6.691,1050
Up in Smoke,13.893,1978-05-16,6.691,554
The Score,15.053,2001-07-13,6.691,1627
Monster House,49.464,2006-06-30,6.691,3961
Marie Antoinette,52.469,2006-05-24,6.7,2706
Liar Liar,31.723,1997-03-21,6.7,5616
The Bodyguard,32.973,1992-11-25,6.7,2939
Scared Shrekless,20.424,2010-10-28,6.7,466
Bananas,8.892,1971-04-28,6.69,741
Disturbia,26.718,2007-03-27,6.7,3679
Appleseed,9.166,2004-04-17,6.7,346
The Princess Diaries 2: Royal Engagement,36.541,2004-08-06,6.7,3204
You've Got Mail,24.857,1998-12-18,6.69,3270
The Bounty,13.408,1984-05-04,6.689,544
Weird: The Al Yankovic Story,11.963,2022-09-08,6.688,421
Along for the Ride,12.498,2022-05-06,6.688,344
Goodnight Mommy,19.034,2014-10-07,6.688,1559
Rabbit Hole,18.903,2010-12-16,6.7,594
Public Enemies,33.142,2009-07-01,6.688,4421
Commando,46.856,1985-10-03,6.688,2786
1408,21.748,2007-06-22,6.688,4400
Mr. & Mrs. Smith,56.379,2005-06-07,6.688,10349
Haunt,14.495,2019-09-13,6.7,1220
Luther: The Fallen Sun,18.607,2023-02-24,6.686,921
Fast & Furious,9.54,2009-04-02,6.7,7200
Emily the Criminal,16.806,2022-08-12,6.685,819
Home Team,11.534,2022-01-28,6.685,730
Border,12.801,2018-09-27,6.685,805
The Stepford Wives,12.619,1975-02-12,6.7,313
Mad Max,33.673,1979-04-12,6.7,4435
Entangled,9.908,2021-11-12,6.688,324
The Boxtrolls,24.685,2014-09-10,6.7,1667
48 Hrs.,17.42,1982-12-07,6.684,1477
The Advent Calendar,32.357,2021-12-01,6.683,339
Hitman's Wife's Bodyguard,42.066,2021-06-14,6.682,2270
The Mirror Has Two Faces,12.333,1996-11-15,6.7,325
Stir of Echoes,22.437,1999-09-10,6.683,1202
Police Academy,30.53,1984-03-22,6.683,2654
Ransom,48.619,1996-11-08,6.7,1833
The Trip,10.952,2021-07-30,6.7,550
The Lego Movie 2: The Second Part,39.573,2019-02-06,6.682,2198
My Week with Marilyn,10.824,2011-11-23,6.682,1279
The Muppets,27.437,2011-11-22,6.7,1560
Pokémon the Movie 2000,21.575,1999-07-17,6.7,842
Rambo,50.236,2008-01-24,6.682,3875
The Day After,11.956,1983-11-20,6.7,374
Dream Scenario,24.113,2023-11-10,6.681,877
More the Merrier,15.552,2021-07-30,6.7,432
Tutta colpa di Freud,5.579,2014-01-23,6.7,1013
Real Genius,12.776,1985-08-07,6.7,432
Mank,13.87,2020-11-13,6.68,1595
Puncture,9.067,2011-09-23,6.7,391
The Last Circus,14.536,2010-12-17,6.68,413
The Other Boleyn Girl,27.013,2008-02-28,6.7,2030
The Client,40.929,1994-07-20,6.7,1118
"Corrina, Corrina",12.416,1994-08-12,6.7,424
Welcome to the Sticks,18.871,2008-02-20,6.68,2414
Out of Sight,15.179,1998-06-26,6.68,1245
Better Watch Out,24.785,2017-10-06,6.681,1477
The Infiltrator,14.783,2016-07-13,6.68,1656
Comet,18.341,2014-12-05,6.7,436
The Ides of March,16.243,2011-09-24,6.679,2449
Charlie Bartlett,9.275,2008-02-22,6.679,625
The Good Liar,15.017,2019-11-08,6.677,1130
Pollock,9.49,2000-09-06,6.7,311
Dying Young,9.285,1991-06-20,6.7,436
Tristan & Isolde,9.009,2006-04-07,6.678,782
Tropic Thunder,33.203,2008-08-09,6.7,6160
Parenthood,13.016,1989-07-31,6.678,628
The Wave,30.969,2015-08-28,6.7,1279
Planet Terror,52.637,2007-04-06,6.677,3483
Glass,68.16,2019-01-16,6.676,8446
Patriot Games,20.971,1992-06-04,6.676,1605
The Island,30.727,2005-07-21,6.7,5349
Meet the Parents,20.514,2000-10-06,6.676,5893
Nanny McPhee,64.132,2005-10-21,6.7,3018
Catch-22,13.073,1970-06-24,6.675,303
Yes Man,30.566,2008-12-09,6.7,6777
The 13th Warrior,35.833,1999-08-13,6.675,1831
Time Freak,26.788,2018-11-09,6.7,453
"Me, Myself and Mum",13.558,2013-11-20,6.674,649
Cracks,31.081,2009-12-04,6.7,397
Hellboy,45.958,2004-04-02,6.674,6841
The Ring,44.985,2002-10-18,6.674,6151
Serial (Bad) Weddings,27.823,2014-04-16,6.673,3378
Insidious: Chapter 2,27.229,2013-09-12,6.7,4220
Days of Glory,15.49,2006-09-27,6.7,372
Footloose,27.014,1984-02-17,6.7,2030
About a Boy,17.601,2002-04-26,6.7,2186
A United Kingdom,14.706,2016-11-25,6.7,503
When the Game Stands Tall,7.696,2014-08-22,6.672,351
Zulu,26.308,2013-12-04,6.672,476
A Nightmare on Elm Street 3: Dream Warriors,14.688,1987-02-27,6.673,1777
Shadow of the Vampire,17.968,2000-05-15,6.671,575
Frozen River,5.836,2008-03-26,6.671,313
Scream,113.407,2022-01-12,6.67,3302
Eye for an Eye,7.288,2019-08-30,6.7,305
Aquaman and the Lost Kingdom,110.495,2023-12-20,6.67,2821
Society,14.571,1989-05-13,6.7,541
Fantastic Voyage,13.968,1966-08-24,6.7,437
Back to Black,43.847,2024-04-11,6.669,456
The Student and Mister Henri,18.707,2015-10-07,6.669,372
"Good Luck Charlie, It's Christmas!",18.808,2011-12-02,6.7,408
Unknown,22.539,2011-02-16,6.669,3816
The First Great Train Robbery,15.96,1978-12-14,6.7,362
Teenage Mutant Ninja Turtles,34.019,1990-03-30,6.669,1762
Perfect Strangers,11.567,2017-12-01,6.668,637
The Odyssey,7.217,2016-10-12,6.7,414
Beautiful Girls,9.724,1996-02-09,6.668,357
The Lookout,9.171,2007-03-09,6.7,627
The Powerpuff Girls Movie,14.42,2002-07-03,6.7,300
The Hunger,10.986,1983-04-29,6.667,566
A Good Year,14.03,2006-09-09,6.667,1491
Hairspray,33.785,2007-07-19,6.7,2469
Smile,156.018,2022-09-23,6.666,3283
Florence Foster Jenkins,13.25,2016-05-06,6.666,1446
Flowers in the Attic,22.586,2014-01-18,6.666,365
Geek Charming,10.839,2011-11-11,6.666,751
Hysteria,8.977,2011-06-06,6.7,807
22 Bullets,21.316,2010-03-23,6.666,1196
Pokémon: Mewtwo Returns,13.056,2001-08-17,6.7,389
Quigley Down Under,15.354,1990-10-17,6.7,374
Martian Child,6.429,2007-11-02,6.666,301
Joy Ride,15.982,2023-06-22,6.665,360
Gladiator II,1398.666,2024-11-05,6.667,994
Of Gods and Men,19.159,2010-09-08,6.665,363
Balto III: Wings of Change,31.511,2004-04-14,6.7,324
Sabotage,5.75,1937-01-08,6.7,325
Jarhead,34.854,2005-11-04,6.7,2860
Boston Strangler,19.007,2023-03-16,6.7,675
Purple Rain,13.824,1984-07-27,6.666,370
Empire Records,11.162,1995-09-22,6.7,691
Banana Joe,13.653,1982-03-24,6.7,451
Marry Me,13.479,2022-02-09,6.663,998
Hot Summer Nights,30.731,2018-07-26,6.663,732
The Brand New Testament,13.064,2015-09-02,6.663,1621
A Perfect Day,8.188,2015-08-28,6.7,611
Ms .45,18.742,1981-04-24,6.7,346
Unfaithful,59.055,2002-05-10,6.7,1526
Ma Rainey's Black Bottom,8.966,2020-11-25,6.662,1151
Quick Change,17.686,1990-07-13,6.7,348
The Hitchhiker's Guide to the Galaxy,26.461,2005-04-28,6.662,3844
Kate,16.214,2021-09-10,6.7,1503
Uncle Drew,28.571,2018-06-27,6.7,551
Keep an Eye Out,11.054,2018-07-04,6.7,605
She's Gotta Have It,13.879,1986-08-08,6.661,324
The World According to Garp,7.555,1982-08-13,6.661,344
Che: Part Two,7.327,2008-12-12,6.661,614
Pig,31.541,2021-07-16,6.66,1407
The Way Back,10.611,2020-03-05,6.66,1169
Populaire,8.173,2012-11-27,6.659,552
Pokémon Heroes,16.217,2002-07-13,6.7,346
Inferno,8.746,1980-02-07,6.659,602
Russian Dolls,12.003,2005-06-15,6.659,675
Little White Lies 2,10.314,2019-05-01,6.658,692
Their Finest,17.156,2017-02-19,6.658,404
Elle,19.69,2016-05-25,6.7,1850
Spanish Affair,10.375,2014-03-14,6.7,630
Cronos,10.065,1993-11-05,6.658,641
Three Kings,39.802,1999-09-27,6.658,2034
Wildlife,11.586,2018-09-23,6.7,710
Storks,24.794,2016-09-22,6.657,2324
The Spectacular Now,23.821,2013-08-02,6.657,2844
Falling in Love,10.512,1984-11-21,6.657,359
The Ferpect Crime,7.677,2004-09-10,6.661,305
2010,46.689,1984-12-06,6.657,925
Enough,29.176,2002-05-21,6.657,1135
Those Who Wish Me Dead,28.958,2021-05-05,6.656,1633
Ninja: Shadow of a Tear,18.403,2013-12-27,6.7,374
Foxcatcher,12.532,2014-11-14,6.7,2280
Friends with Benefits,42.503,2011-07-21,6.657,7907
Help! I'm a Fish,16.492,2000-10-06,6.656,419
Young Guns,25.876,1988-02-17,6.7,907
Alpha Dog,13.322,2006-01-27,6.7,1360
Return,4.091,2008-01-01,6.655,562
The Royal Treatment,15.789,2022-01-20,6.7,766
The Guest,25.623,2014-09-05,6.655,1941
How I Live Now,13.137,2013-09-10,6.655,859
Fantozzi Against the Wind,6.538,1980-11-13,6.655,513
Empire of Light,13.288,2022-12-09,6.7,541
The Mountain Between Us,36.782,2017-10-05,6.654,2336
Crimson Peak,39.834,2015-10-13,6.655,4920
Diary of a Wimpy Kid: Rodrick Rules,22.962,2011-03-25,6.654,1119
Princess Protection Program,30.473,2009-06-08,6.653,1688
Dave,11.618,1993-05-07,6.7,739
Elf,141.223,2003-10-09,6.654,4028
The Longest Yard,44.533,2005-05-27,6.654,3353
Burn After Reading,14.212,2008-09-05,6.654,4687
No Reservations,66.517,2007-06-15,6.654,1331
Emma,30.678,1996-08-02,6.654,599
Backdraft,25.644,1991-05-24,6.7,1408
Longlegs,146.483,2024-07-10,6.645,1470
Ambulance,30.522,2022-03-16,6.653,2120
The Mother,27.232,2023-05-04,6.653,1246
Red Joan,8.764,2018-09-13,6.653,365
Fantastic Beasts: The Secrets of Dumbledore,83.529,2022-04-06,6.653,4470
Julia's Eyes,8.232,2010-08-16,6.653,776
Fracchia The Human Beast,4.944,1981-12-22,6.653,320
Ninja Assassin,40.051,2009-09-29,6.654,1549
Blood & Gold,15.153,2023-04-21,6.7,371
Pirates of the Caribbean: Dead Men Tell No Tales,71.927,2017-05-23,6.652,11952
Brother Bear 2,34.517,2006-08-17,6.7,1469
Bully,12.279,2001-07-13,6.652,463
Stoker,14.738,2013-02-28,6.7,2216
River of No Return,18.186,1954-04-30,6.7,439
Tron,21.833,1982-07-09,6.651,2274
Kursk,13.074,2018-11-07,6.7,608
The Girl Next Door,26.013,2007-07-19,6.7,706
One Hour Photo,15.026,2002-08-21,6.7,1700
Thunderball,39.435,1965-12-11,6.65,2304
Lady Chatterley's Lover,32.13,2022-11-22,6.649,417
The Harder They Fall,13.841,2021-10-22,6.6,1050
Batman: Mystery of the Batwoman,27.168,2003-10-21,6.639,390
Keeping Mum,9.533,2005-12-02,6.6,556
Little Italy,17.323,2018-08-24,6.6,644
Overboard,64.204,2018-04-13,6.6,1365
Monos,6.715,2019-08-15,6.648,384
Barbie Presents: Thumbelina,18.232,2009-02-24,6.648,480
The Year of Living Dangerously,10.919,1982-12-17,6.6,322
Zombie Flesh Eaters,11.729,1979-08-25,6.6,586
Life,29.096,1999-04-16,6.6,779
Crank,60.655,2006-08-31,6.648,3755
Retribution,61.872,2023-08-23,6.647,1143
"Tad, the Lost Explorer, and the Secret of King Midas",36.9,2017-03-25,6.6,406
Yves Saint Laurent,7.921,2014-01-08,6.6,872
Oblivion,45.308,2013-04-10,6.648,10635
Green Lantern: Emerald Knights,16.411,2011-04-09,6.6,492
The Entity,18.818,1982-09-30,6.647,479
Antichrist,31.392,2009-05-20,6.647,2572
Return to Me,6.766,2000-04-07,6.647,431
Absolute Power,29.306,1997-02-14,6.6,1085
Batman: Gotham by Gaslight,13.741,2018-01-12,6.646,691
The Skeleton Twins,8.947,2014-06-05,6.6,628
The Words,17.013,2012-09-07,6.6,1176
Wasabi,23.528,2001-10-31,6.646,1274
Sex and Lucía,21.038,2001-08-24,6.646,541
Happy Death Day,24.447,2017-10-12,6.645,6106
Tuck Everlasting,10.454,2002-10-11,6.645,465
The Wizard of Lies,34.392,2017-05-11,6.644,570
The Loved Ones,13.307,2010-08-04,6.6,738
Contagion,23.974,2011-09-08,6.644,6043
Repo Man,13.323,1984-03-02,6.644,600
Bad Boys II,44.017,2003-07-18,6.645,5446
Rambo: First Blood Part II,61.6,1985-05-21,6.644,3894
Always Be My Maybe,9.357,2019-05-31,6.643,1315
Big Bad Wolves,7.198,2013-04-21,6.643,373
JCVD,8.127,2008-06-04,6.643,506
U Turn,17.625,1997-10-03,6.643,726
Pain Hustlers,13.421,2023-10-20,6.644,613
Orphan: First Kill,35.272,2022-07-27,6.642,2112
Kaamelott: The First Chapter,9.544,2021-07-21,6.646,682
Dora and the Lost City of Gold,33.208,2019-08-08,6.639,1710
The Grand Seduction,15.572,2014-05-30,6.6,313
Alan Partridge: Alpha Papa,11.203,2013-07-24,6.6,441
Uncle Boonmee Who Can Recall His Past Lives,9.749,2010-06-25,6.6,362
Muppet Treasure Island,12.357,1996-02-16,6.6,391
The Replacements,18.677,2000-08-11,6.642,949
Happy Gilmore,23.218,1996-02-16,6.642,2637
Zom 100: Bucket List of the Dead,22.351,2023-08-03,6.6,551
Stillwater,16.313,2021-07-29,6.641,1220
Dilwale,15.292,2015-12-18,6.6,306
The Purge: Anarchy,60.962,2014-07-17,6.64,6380
UHF,15.49,1989-07-21,6.6,343
Cypher,11.887,2002-10-01,6.64,554
Spider,11.113,2002-11-06,6.6,849
Clear and Present Danger,22.618,1994-08-03,6.6,1489
Half Nelson,10.217,2006-08-11,6.64,860
Stuber,12.557,2019-07-11,6.6,1284
All Is Lost,14.725,2013-08-23,6.6,1590
Lilo & Stitch 2: Stitch Has a Glitch,47.114,2005-01-22,6.639,1427
Alice in Wonderland,81.489,2010-03-03,6.639,13928
Beavis and Butt-Head Do America,12.883,1996-12-20,6.6,689
The Champion,5.313,2019-04-18,6.6,377
Blade of the Immortal,11.411,2017-04-29,6.638,543
Trolls,47.534,2016-10-13,6.638,3572
The Little Bather,12.477,1968-03-22,6.638,352
Rugrats in Paris: The Movie,13.557,2000-11-17,6.638,454
Traitor,11.145,2008-08-23,6.6,632
*batteries not included,13.39,1987-12-18,6.6,699
The Man in the Iron Mask,28.305,1998-03-12,6.638,3793
Resident Evil,21.369,2002-03-15,6.638,6326
Veronica Guerin,15.835,2003-07-11,6.637,304
Sweet Girl,20.569,2021-08-18,6.634,1186
Jack Reacher,82.61,2012-12-20,6.636,6980
Crazy/Beautiful,18.234,2001-06-29,6.6,337
Around the World in Eighty Days,26.359,1956-10-17,6.6,513
National Treasure,48.94,2004-11-19,6.636,6293
The Hunt,37.391,2020-03-11,6.634,3184
Godard Mon Amour,6.891,2017-06-24,6.6,351
Mia madre,6.495,2015-04-16,6.635,353
Grumpy Old Men,16.925,1993-12-25,6.635,656
Damage,22.993,1992-12-02,6.6,594
Dumb and Dumber,47.539,1994-12-16,6.6,6089
The Spiderwick Chronicles,32.988,2008-02-14,6.635,2603
Breach,10.064,2007-02-12,6.635,572
A Haunting in Venice,29.2,2023-09-13,6.634,2281
Hours,15.578,2013-12-04,6.6,740
Pineapple Express,29.796,2008-08-06,6.634,3789
One Eight Seven,13.335,1997-07-29,6.635,561
May December,25.853,2023-11-16,6.628,774
The Immortal,9.217,2019-12-05,6.6,470
A Simple Favor,30.668,2018-08-29,6.634,4114
Reversal of Fortune,11.237,1990-10-19,6.633,300
The Wild Goose Lake,7.826,2019-12-06,6.632,337
The Holiday Calendar,18.109,2018-11-02,6.632,1011
Valerian and the City of a Thousand Planets,58.155,2017-07-20,6.632,7462
Exotica,35.056,1994-11-30,6.6,328
Gummo,17.583,1997-10-17,6.6,618
White Men Can't Jump,22.784,1992-03-27,6.6,1344
Pet Sematary,29.969,1989-04-21,6.632,2158
Heaven Can Wait,15.219,1978-06-28,6.6,394
It Could Happen to You,43.185,1994-07-29,6.6,784
Bull Durham,23.178,1988-06-15,6.6,571
Infinitely Polar Bear,8.427,2014-01-18,6.63,369
Heartbreaker,8.497,2010-03-17,6.63,1340
Cloudy with a Chance of Meatballs,58.096,2009-09-17,6.631,5936
Things We Lost in the Fire,7.181,2007-09-26,6.63,351
Husband & Wife,5.976,2017-04-13,6.6,333
Spring,7.966,2014-10-08,6.6,698
Great Expectations,15.697,1998-01-30,6.629,593
Street Kings,19.573,2008-04-10,6.629,1477
The Ice Age Adventures of Buck Wild,70.674,2022-01-28,6.6,1697
The Shiny Shrimps,7.92,2019-05-08,6.6,431
Our Souls at Night,8.549,2017-09-29,6.628,431
Veronica Mars,13.871,2014-03-13,6.628,1061
Behind the Candelabra,13.376,2013-05-26,6.6,773
Away We Go,16.204,2009-06-05,6.6,568
Miss Potter,7.747,2006-12-03,6.628,488
Man of Steel,54.428,2013-06-12,6.628,15093
Thirteen,17.806,2003-08-20,6.6,1601
Ben Is Back,14.16,2018-12-05,6.6,912
The Cabin in the Woods,40.455,2012-04-12,6.626,7833
Live Free or Die Hard,36.789,2007-06-20,6.627,5787
Clouds of Sils Maria,9.517,2014-08-20,6.6,751
Space Pirate Captain Harlock,23.432,2013-09-07,6.6,1022
Taxidermia,11.577,2006-08-23,6.6,311
Body of Lies,26.431,2008-10-09,6.625,3001
Dead Men Don't Wear Plaid,7.861,1982-05-21,6.6,382
Tinker Tailor Soldier Spy,19.292,2011-09-16,6.624,2610
The Four Feathers,8.638,2002-09-08,6.624,544
The Chronicles of Narnia: Prince Caspian,73.202,2008-05-15,6.624,6344
Swallow,12.507,2020-01-15,6.624,740
Colombiana,87.91,2011-07-27,6.623,2576
Martha Marcy May Marlene,15.515,2011-10-21,6.6,735
Pulse,20.063,2001-02-03,6.631,519
Kinsey,10.4,2004-09-04,6.6,462
The Rescuers Down Under,6.255,1990-11-16,6.623,1264
In the Realm of the Senses,42.198,1976-09-15,6.6,621
The Skeleton Key,15.889,2005-07-29,6.622,2061
Jungle,21.232,2017-06-27,6.6,1935
Trance,12.068,2013-03-27,6.621,2170
The Quiet Earth,11.059,1985-09-08,6.6,537
Something's Gotta Give,25.217,2003-12-12,6.621,1570
My Name Is Vendetta,18.194,2022-11-30,6.6,589
The Tender Bar,10.485,2021-12-17,6.62,534
UglyDolls,37.275,2019-05-01,6.6,433
Buried,17.486,2010-09-24,6.62,2779
Gold,19.308,2016-02-03,6.619,1609
White God,7.91,2014-06-12,6.6,318
Cocoon,11.996,1985-06-21,6.619,1269
Goya's Ghosts,9.174,2006-11-08,6.618,478
Tigerland,18.185,2000-10-06,6.6,552
Fermat's Room,13.454,2007-10-07,6.618,395
A Christmas Prince,15.264,2017-11-17,6.6,1433
Caddyshack,23.279,1980-07-25,6.617,1148
Love in the Time of Cholera,15.907,2007-10-04,6.6,377
Athena,36.875,2022-09-09,6.621,729
Bleach,12.38,2018-07-20,6.616,541
The Fabulous Baker Boys,10.385,1989-10-13,6.616,329
The Party,16.99,1980-12-17,6.616,1110
The Wandering Earth,25.056,2019-02-05,6.615,954
Oxygen,22.982,2021-05-12,6.615,1382
Popstar: Never Stop Never Stopping,19.592,2016-06-03,6.6,1231
Point Blank,8.541,2010-11-08,6.6,454
Swimming with Sharks,14.347,1994-09-10,6.6,308
Short Circuit,13.615,1986-05-09,6.615,1464
The Burning Plain,13.0,2008-11-07,6.614,429
99 Francs,10.747,2007-09-26,6.614,727
The Rat Catcher,10.795,2023-09-28,6.6,373
Vengeance,13.11,2022-07-29,6.6,367
The Cursed,33.593,2021-07-28,6.6,331
Candyman,20.692,1992-10-16,6.613,1605
The Forbidden Kingdom,29.773,2008-04-17,6.613,1690
Proximity,29.666,2020-05-15,6.623,310
The Addams Family,40.413,2019-10-10,6.612,2329
Benedetta,51.931,2021-07-09,6.612,991
Fireworks,19.331,2017-08-18,6.6,338
The Grandmaster,27.49,2013-01-10,6.6,862
[REC]²,26.965,2009-09-15,6.6,1976
Troll,23.221,2022-12-01,6.611,1690
Dumbo,46.546,2019-03-27,6.61,4307
Kill the Messenger,9.904,2014-10-09,6.611,839
Madagascar 3: Europe's Most Wanted,80.459,2012-06-06,6.612,6109
The Hunter,14.625,2011-10-06,6.611,644
The Wonder,12.968,2022-11-02,6.61,813
Monte Carlo,17.988,2011-07-01,6.609,2116
The Kids Are All Right,8.222,2010-07-09,6.609,1464
The Crush,16.012,1993-04-02,6.6,496
Demons,11.425,1985-10-04,6.6,558
Ruthless People,17.78,1986-06-26,6.6,398
The Long Kiss Goodnight,19.018,1996-10-11,6.607,1170
Piggy,19.709,2022-10-07,6.608,595
Saint Maud,11.824,2020-10-09,6.6,718
A Most Violent Year,21.363,2014-12-31,6.608,1398
The Last Starfighter,16.711,1984-07-13,6.6,681
Bringing Out the Dead,13.036,1999-10-22,6.608,1064
Fire in the Sky,26.35,1993-03-12,6.607,581
28 Weeks Later,39.826,2007-04-26,6.607,4268
Lost Bullet,8.501,2020-06-19,6.606,781
Infinite,50.029,2021-09-09,6.606,1840
Brittany Runs a Marathon,7.961,2019-08-23,6.606,475
Radioactive,9.179,2020-03-11,6.6,823
Night Hunter,61.118,2019-08-29,6.61,890
Conspiracy Theory,22.35,1997-08-08,6.6,1446
Insidious: The Red Door,51.911,2023-07-05,6.6,1682
This Is Where I Leave You,26.474,2014-09-10,6.6,1324
Reminiscence,13.861,2021-08-18,6.604,1757
The Diary of a Teenage Girl,11.424,2015-08-07,6.604,728
Risky Business,17.375,1983-08-05,6.6,1275
Beast,28.757,2022-08-11,6.603,1538
"Where'd You Go, Bernadette",10.984,2019-08-16,6.603,651
Micmacs,14.367,2009-10-28,6.603,587
The Brothers Bloom,13.219,2008-09-09,6.6,617
Hannah Montana: The Movie,24.964,2009-04-10,6.6,1998
New Jack City,13.155,1991-03-08,6.603,515
The Final Countdown,18.745,1980-01-31,6.603,587
Speak No Evil,28.643,2022-03-17,6.601,837
Dolittle,53.411,2020-01-02,6.601,3622
Bright Star,13.105,2009-09-18,6.6,443
House of Usher,6.951,1960-07-20,6.602,314
The Collector,30.483,2009-07-09,6.602,1465
Hamlet,9.397,1990-12-19,6.6,398
Jingle Jangle: A Christmas Journey,38.5,2020-11-06,6.61,513
World's Greatest Dad,24.594,2009-08-20,6.601,590
Final Destination,41.207,2000-03-17,6.601,5607
Stay,12.297,2005-09-24,6.601,1318
Girl with a Pearl Earring,31.272,2003-12-12,6.6,1360
The Kid Detective,9.728,2020-10-16,6.6,404
45 Years,7.555,2015-08-04,6.6,731
Side Effects,15.398,2013-02-07,6.6,3059
Sunshine Cleaning,9.515,2008-01-18,6.6,747
Old School,55.863,2003-02-21,6.6,1835
The ComDads,10.657,1983-11-23,6.6,394
My Best Friend's Wedding,11.205,1997-06-19,6.6,2631
There's Something About Mary,26.594,1998-07-15,6.6,4909
Saint Seiya: Legend of Sanctuary,34.363,2014-06-21,6.599,678
The Eagle Has Landed,15.017,1976-12-24,6.6,325
Double Jeopardy,30.555,1999-09-24,6.598,1313
"Me, Myself & Irene",43.416,2000-06-22,6.6,3836
Saw II,39.62,2005-10-28,6.6,5367
The Voyeurs,60.714,2021-08-25,6.597,934
Mine,35.655,2016-10-06,6.6,1289
12,11.494,2007-06-06,6.597,382
EuroTrip,32.93,2004-02-20,6.6,2551
A Whole Life Ahead,6.642,2008-03-28,6.596,306
The Pelican Brief,17.993,1993-09-17,6.596,1559
Torn Curtain,8.823,1966-07-15,6.596,570
House of Gucci,25.082,2021-11-24,6.595,3100
The Night House,30.59,2021-07-15,6.595,1130
Barefoot,17.021,2014-02-02,6.595,615
Hands of Stone,16.45,2016-08-26,6.595,404
Footloose,21.459,2011-10-06,6.595,1637
The Exorcism of Emily Rose,45.554,2005-09-09,6.6,2761
I Care a Lot,22.656,2021-02-19,6.594,2671
The Green Knight,29.686,2021-07-29,6.6,1889
The Heat,27.606,2013-06-27,6.6,3903
Robin Hood: Men in Tights,32.948,1993-07-28,6.594,2054
Noelle,46.407,2019-11-12,6.595,646
The Nile Hilton Incident,7.352,2017-06-19,6.593,349
Sea of Love,13.963,1989-09-15,6.6,607
Brewster's Millions,17.932,1985-05-22,6.593,584
Australia,17.145,2008-11-18,6.6,2268
Working Girl,34.38,1988-12-20,6.593,945
Playing with Fire,20.706,2019-11-08,6.6,688
Annabelle: Creation,45.49,2017-08-03,6.6,5590
Ender's Game,35.221,2013-10-24,6.592,5786
The Unholy,49.629,2021-03-31,6.591,2155
The Art of Self-Defense,12.572,2019-07-12,6.6,720
Chinese Puzzle,15.751,2013-12-04,6.591,678
Elvira: Mistress of the Dark,26.968,1988-09-30,6.6,518
Woody Woodpecker,29.504,2017-10-05,6.59,710
Batman: The Killing Joke,23.017,2016-07-24,6.591,1804
The Finest Hours,21.021,2016-01-27,6.59,1594
You're Next,16.702,2013-08-22,6.59,2458
